seed,hidden,top,confidence,correct,p_h0,p_top_vessel,top_vessel_correct
59,False,H0,0.5040067166017642,False,0.5040067166017642,0.2390663732124259,True
60,True,419060004,0.527223296715275,False,0.472776703284725,0.527223296715275,False
61,False,H0,0.5909185051449948,False,0.5909185051449948,0.19271523465919674,True
62,False,H0,0.3531973224514743,False,0.3531973224514743,0.2885838169917255,True
63,True,H0,0.6927258253782936,True,0.6927258253782936,0.2707460951079862,False
64,True,H0,0.5705504896456337,True,0.5705504896456337,0.24786643212924303,False
65,False,H0,0.46152308620316096,False,0.46152308620316096,0.32492609158209146,True
66,True,H0,0.4629022121300273,True,0.4629022121300273,0.2813846163058197,False
67,False,H0,0.5592394760781267,False,0.5592394760781267,0.2880791149814447,True
68,False,H0,0.5918913628479716,False,0.5918913628479716,0.19797916435843654,True
69,False,H0,0.5082654579301115,False,0.5082654579301115,0.20603642951741116,True
70,False,H0,0.6144181756706468,False,0.6144181756706468,0.28414942343432703,True
71,False,H0,0.5923189255677782,False,0.5923189255677782,0.21044892224607084,True
72,False,H0,0.59957569220556,False,0.59957569220556,0.1632683032784104,True
73,False,H0,0.47035675277862365,False,0.47035675277862365,0.20448531548604493,True
74,True,H0,0.8675204443479979,True,0.8675204443479979,0.09943987991975439,False
75,False,H0,0.5386664973264799,False,0.5386664973264799,0.27159773273048904,True
76,True,H0,0.5781424215129395,True,0.5781424215129395,0.19954916531299965,False
77,False,H0,0.5740126121638077,False,0.5740126121638077,0.13966365406652695,True
78,False,H0,0.5134575178516075,False,0.5134575178516075,0.18118718679105017,True
79,False,H0,0.7204521914946613,False,0.7204521914946613,0.18108680297321053,True
80,False,H0,0.5008098311313012,False,0.5008098311313012,0.17259674162854974,False
81,False,H0,0.5685115012297719,False,0.5685115012297719,0.1783366326488414,True
82,False,H0,0.520866322169308,False,0.520866322169308,0.4134988449239648,True
83,False,H0,0.49410796623087605,False,0.49410796623087605,0.2223092666247869,True
84,True,H0,0.6611706252686863,True,0.6611706252686863,0.21192986113673892,False
85,False,H0,0.5712321825300818,False,0.5712321825300818,0.2111785086516838,True
